COUNTRY,Country,WEEK,GENDER,Gender,Age,VARIABLE,Variable,YEAR,Year,Value
CHE,Switzerland,19,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2022,2022,-25
AUT,Austria,34,TOTAL,Total,Total,EXCESSNB,Excess deaths (number),2020,2020,43
AUT,Austria,34,TOTAL,Total,Total,EXCESSNB,Excess deaths (number),2021,2021,142
BEL,Belgium,15,FEMALE,Females,65 and over,EXCESSNB,Excess deaths (number),2020,2020,1162.6
BEL,Belgium,15,FEMALE,Females,65 and over,EXCESSNB,Excess deaths (number),2021,2021,-37.4
BEL,Belgium,15,FEMALE,Females,65 and over,EXCESSNB,Excess deaths (number),2022,2022,145.6
ESP,Spain,27,MALE,Males,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,-6.6
ESP,Spain,27,MALE,Males,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,-132.6
NOR,Norway,17,FEMALE,Females,Total,EXCESSNB,Excess deaths (number),2020,2020,-18.6
NOR,Norway,17,FEMALE,Females,Total,EXCESSNB,Excess deaths (number),2021,2021,11.4
NOR,Norway,17,FEMALE,Females,Total,EXCESSNB,Excess deaths (number),2022,2022,19.4
LUX,Luxembourg,37,TOTAL,Total,65 and over,EXCESSNB,Excess deaths (number),2020,2020,3
LUX,Luxembourg,37,TOTAL,Total,65 and over,EXCESSNB,Excess deaths (number),2021,2021,-4
DNK,Denmark,34,FEMALE,Females,65 and over,EXCESSNB,Excess deaths (number),2020,2020,-14.6
DNK,Denmark,34,FEMALE,Females,65 and over,EXCESSNB,Excess deaths (number),2021,2021,39.4
CHL,Chile,2,MALE,Males,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,6
CHL,Chile,2,MALE,Males,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,1
CHL,Chile,2,MALE,Males,0 to 44,EXCESSNB,Excess deaths (number),2022,2022,23
EST,Estonia,51,FEMALE,Females,45 to 64,EXCESSNB,Excess deaths (number),2020,2020,3
EST,Estonia,51,FEMALE,Females,45 to 64,EXCESSNB,Excess deaths (number),2021,2021,14
FRA,France,51,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2020,2020,-49.2
FRA,France,51,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2021,2021,94.8
NOR,Norway,9,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2020,2020,-12.2
NOR,Norway,9,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2021,2021,-41.2
NOR,Norway,9,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2022,2022,-7.2
USA,United States,37,TOTAL,Total,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,993.6
USA,United States,37,TOTAL,Total,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,2487.6
FRA,France,34,MALE,Males,65 and over,EXCESSNB,Excess deaths (number),2020,2020,121.4
FRA,France,34,MALE,Males,65 and over,EXCESSNB,Excess deaths (number),2021,2021,534.4
SVK,Slovak Republic,23,MALE,Males,Total,EXCESSNB,Excess deaths (number),2020,2020,38
SVK,Slovak Republic,23,MALE,Males,Total,EXCESSNB,Excess deaths (number),2021,2021,34
LVA,Latvia,19,TOTAL,Total,Total,EXCESSNB,Excess deaths (number),2020,2020,-88.2
LVA,Latvia,19,TOTAL,Total,Total,EXCESSNB,Excess deaths (number),2021,2021,115.8
LVA,Latvia,19,TOTAL,Total,Total,EXCESSNB,Excess deaths (number),2022,2022,-12.2
BEL,Belgium,31,FEMALE,Females,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,-1
BEL,Belgium,31,FEMALE,Females,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,-8
ISL,Iceland,14,FEMALE,Females,45 to 64,EXCESSNB,Excess deaths (number),2020,2020,-2.4
ISL,Iceland,14,FEMALE,Females,45 to 64,EXCESSNB,Excess deaths (number),2021,2021,-1.4
ISL,Iceland,14,FEMALE,Females,45 to 64,EXCESSNB,Excess deaths (number),2022,2022,0.6
SVN,Slovenia,22,MALE,Males,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,0
SVN,Slovenia,22,MALE,Males,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,5
LUX,Luxembourg,15,FEMALE,Females,Total,EXCESSNB,Excess deaths (number),2020,2020,22.2
LUX,Luxembourg,15,FEMALE,Females,Total,EXCESSNB,Excess deaths (number),2021,2021,5.2
